Ville,Temperature
Vernègues,0.49
Valbonne,7.1
Vaires-sur-Marne,5.44
Uzerche,1.44
Tullins,1.46
Trouillas,6.26
Trégastel,7.28
Tournes,4.35
Tournehem-sur-la-Hem,6.52
Souillac,2.71
Souffelweyersheim,2.88
Sissonne,3.08
Scaër,5.07
Sarry,3.95
Sarreinsming,2.96
Saône,-1.65
Salins,4.34
Saint-Trojan-les-Bains,2.37
Saint-Symphorien-sur-Coise,-1.02
Saint-Pathus,5.26
Saint-Jeannet,7.09
Saint-Jean-de-Luz,7.82
Saint-Galmier,0.18
Saint-Florent-sur-Auzonnet,0.44
Saint-Fiacre-sur-Maine,5.53
Sainte-Sigolène,-2.34
Saint-Aubin-des-Ormeaux,4.24
Saint-André-sur-Vieux-Jonc,1.11
Ruminghem,6.56
Rue,6.93
Roscoff,7.32
Rochetaillée-sur-Saône,1.65
Riscle,3.8
Rioz,0.04
Riantec,6.39
Rémilly,3.23
Ramatuelle,7.25
Raismes,6.18
Arrondissement de Limoux,2.9
Quend,7.0
Quédillac,5.06
Provin,6.48
Priziac,5.32
Prat,6.79
Pouzauges,3.08
Pouilly-sous-Charlieu,0.49
Port-la-Nouvelle,5.19
Pont-Sainte-Maxence,5.98
Pont-à-Marcq,6.35
Poix-du-Nord,5.29
Plouzané,5.62
Plouider,6.39
Plouguenast-Langast,5.25
Plouër-sur-Rance,5.33
Ploubezre,7.02
Beaussais-sur-Mer,5.7
Plonéis,4.85
Plogonnec,5.13
Pleyber-Christ,6.22
Pleyben,5.58
Pfaffenheim,2.29
Patay,3.6
Passy,-1.66
Paradou,2.61
Ormoy,5.04
Oppède,0.4
Oberhergheim,2.54
Nuillé-sur-Vicoin,6.24
Nogent-le-Rotrou,4.45
Nogent-le-Roi,4.85
Niderviller,2.78
Neuf-Berquin,6.36
Mus,5.81
Morteau,-2.28
Montreuil-sur-Ille,3.96
Montlieu-la-Garde,2.18
Thoiry,-1.65
Thoiry,-1.65
Arrondissement de Thonon-les-Bains,-6.45
Sciez,-1.44
Sciez,-1.51
Arrondissement de Saint-Claude,-4.49
Burgundy Region,-0.9
Saône-et-Loire,-0.16
Châteaurenaud,1.57
Arrondissement de Louhans,1.52
Saillenard,1.33
Saillenard,1.32
Gilley,-3.05
Gilley,-3.02
Arrondissement de Dole,0.93
Audelange,0.59
Audelange,0.56
Mossay,3.36
Pays de la Loire Region,4.71
Maine-et-Loire,5.09
Arrondissement de Saumur,5.48
Louerre,5.37
Louerre,5.35
Arrondissement de Tours,5.07
Saint-Avertin,4.91
Saint-Avertin,4.81
Arrondissement de Montbéliard,-0.3
Anteuil,-0.04
Anteuil,-0.03
Arrondissement de Besançon,-1.6
Rognon,0.15
Rognon,0.73
Haute-Saône,2.86
Arrondissement de Vesoul,1.62
Ormenans,0.95
Arrondissement de Montbard,-2.06
