Ville,Temperature
Vénissieux,3.83
Vélizy-Villacoublay,8.28
Vauréal,8.84
Vaulx-en-Velin,3.86
Vaulx-en-Velin,3.83
Vanves,9.05
Vannes,10.75
Vandœuvre-lès-Nancy,5.99
Vandœuvre-lès-Nancy,5.99
Valenciennes,6.7
Valence,6.52
Tulle,12.66
Tremblay-en-France,8.99
Trappes,8.36
Tours,7.02
Tournefeuille,14.13
Tournefeuille,13.71
Torcy,8.86
Thiais,8.94
Tergnier,5.57
Tergnier,5.4
Tassin-la-Demi-Lune,3.34
Suresnes,9.15
Sucy-en-Brie,8.98
Stains,9.08
Sotteville-lès-Rouen,9.29
Sorgues,11.04
Sorgues,11.03
Soissons,8.96
Six-Fours-les-Plages,14.58
Six-Fours-les-Plages,14.39
Seynod,2.36
Seynod,2.46
Sevran,9.04
Arrondissement de Sens,7.21
Sens,7.71
Senlis,8.74
Arrondissement de Sélestat-Erstein,2.79
Sélestat,3.51
Sedan,6.07
Schiltigheim,4.12
Sceaux,8.89
Savigny-le-Temple,9.28
Saumur,9.08
Sartrouville,8.88
Sarcelles,8.76
Arrondissement d'Argenteuil,9.08
Sannois,8.58
Sanary-sur-Mer,14.83
Sanary-sur-Mer,14.86
Sallanches,4.92
Sallanches,4.92
Saint-Sébastien-sur-Loire,8.85
Saint-Raphaël,14.82
Arrondissement de Saint-Quentin,5.05
Saint-Quentin,5.55
Saint-Priest,3.79
Saint-Ouen-l'Aumône,8.9
Saint-Michel-sur-Orge,9.3
Saint-Maximin-la-Sainte-Baume,13.12
Saint-Maur-des-Fossés,9.24
Saint-Martin-d'Hères,4.96
Saint-Mandé,9.14
Saint-Leu-la-Forêt,8.65
Saint-Laurent-d'Andenay,3.23
Saint-Leu,3.22
Saint-Laurent-du-Var,14.77
Saint-Gratien,8.97
Arrondissement de Saintes,9.62
Saintes,9.94
Sainte-Geneviève-des-Bois,9.17
Sainte-Foy-lès-Lyon,2.84
Saint-Égrève,5.02
Saint-Dié-des-Vosges,2.97
Saint-Cyr-l'École,8.54
Saint-Cloud,8.73
Saint-Chamond,1.45
Saint-Chamond,1.49
Saint-Amand-les-Eaux,7.01
Rueil-Malmaison,8.94
Royan,9.57
Rouen,9.32
Ronchin,7.0
Romans-sur-Isère,5.71
Romainville,8.66
Roissy-en-Brie,8.83
Ris-Orangis,9.15
Rillieux-la-Pape,2.92
Rillieux-la-Pape,2.95
Rennes,10.5
Puteaux,9.08
Port-de-Bouc,14.2
Port-de-Bouc,14.09
Pont-à-Mousson,5.66
Poissy,9.04
Ploemeur,10.44
Plaisir,8.68
Plaisance-du-Touch,13.69
Plaisance-du-Touch,13.66
Pierrefitte-sur-Seine,8.97
Arrondissement d'Apt,10.71
Pertuis,13.23
Pantin,9.07
Pantin,9.04
Oyonnax,1.58
Oyonnax,2.56
Osny,8.57
Orvault,8.78
Orsay,9.09
Orly,9.25
Olivet,8.14
Olivet,8.13
Noisy-le-Sec,8.97
Noisy-le-Grand,8.99
Noisiel,9.08
Nogent-sur-Marne,9.19
Niort,7.53
Nîmes,10.5
Nice,14.38
Neuilly-sur-Seine,9.08
Neuilly-sur-Marne,9.21
Neuilly-Plaisance,9.06
Nancy,6.15
Muret,13.17
Muret,13.17
Mougins,13.76
Mont-Saint-Aignan,8.43
Montrouge,8.99
Montivilliers,9.32
Montigny-lès-Metz,5.26
Montigny-lès-Cormeilles,8.74
Montigny-le-Bretonneux,8.39
Montgeron,9.09
Montfermeil,8.7
Montesson,8.99
Montereau-Fault-Yonne,9.75
Montereau-Fault-Yonne,9.75
Montceau-les-Mines,3.98
Montbrison,0.49
Montbrison,0.49
Montauban,14.09
Mons-en-Barœul,7.09
Moissy-Cramayel,9.14
Mitry-Mory,8.96
Miramas,13.64
Millau,17.38
Meyzieu,3.84
Meylan,4.98
Metz,5.15
Melun,9.51
Meaux,9.17
Arrondissement de Mayenne,8.69
Mayenne,8.95
Mauguio,11.43
Maubeuge,5.26
Massy,8.92
Martigues,14.11
Marly-le-Roi,8.26
Marcq-en-Barœul,7.18
Mantes-la-Ville,8.75
Mandelieu-la-Napoule,14.41
Malakoff,9.01
Mâcon,3.31
Lunel,11.22
Lunel,11.23
Lourdes,15.71
Lorient,10.63
Lons-le-Saunier,2.27
Lognes,8.79
Livry-Gargan,8.7
L'Isle-sur-la-Sorgue,11.3
L'Isle-sur-la-Sorgue,11.29
Limay,8.87
Liévin,7.02
L'Haÿ-les-Roses,9.09
Le Vésinet,9.06
Levallois-Perret,9.14
Les Sables-d'Olonne,9.54
Les Pennes-Mirabeau,13.48
Les Pennes-Mirabeau,13.48
Les Mureaux,8.87
Les Lilas,8.62
Les Herbiers,8.8
Les Clayes-sous-Bois,8.28
Le Puy-en-Velay,-0.51
Le Pré-Saint-Gervais,8.89
Le Pontet,11.1
Le Plessis-Trévise,8.83
Le Plessis-Robinson,8.6
